Bairro,Azulejo-Imagem,Azulejo-Código,Procedência,Unnamed: 3,Dimensão-Formato,"Material, Técnica de Fabricação e Decorativa",Endereço,Uso-Aplicação,Altura,Largura,latitude,longitude
Reduto,,CD 6-1-1,França,,"10,4 x 10,4 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),"Travessa Félix Roque n° 260, 268 e 316; Rua Dr. Malcher n° 477; Travessa Rui Barbosa n° 1023; Avenida Portugal n° 57; Rua Marquês de Pombal n° 76/80; Rua Gaspar Viana n° 283/289; Rua 15 de Novembro n° 13; Avenida Castilhos França n° 648","Revestimento de fachada, assentados por compressão contra argamassa fresca.",10.4,10.4,-1.4563888,-48.5044036
Reduto,,CD 7-1-1,Dresden,Alemanha,"14,6 x 14,6 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),"Rua Ó de Almeida n° 1209, 1227, 1235 e 1245; Avenida Nazaré n° 154 e 166; Rua Mundurucus n° 619; Travessa Padre Eutiquio n° 1192, 1198, 1206 e 1214","Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.6,14.6,-1.1386998,-48.448846
Reduto,,CD 8-1-1,Dresden,Alemanha,14 x 14 cm,Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Rua Ó de Almeida n° 1116; Avenida Assis de Vasconcelos n° 831; Rua Tomázia Perdigão n° 240; Rua Gaspar Viana n° 152/154/158; Travessa Leão XIII n° 22/24/26,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.4515412,-48.4973671
Reduto,,CD 9-1-1,,,"12,3 x 12,3 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Rua Santo Antônio n° 139/153/159; Travessa Leão XIII n° 55/79,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",12.3,12.3,-1.3598314,-48.4412983
Reduto,,CD 10-1-1 (a e b),Provavelmente Alemanha,,"14,5 x 14,5 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.5,14.5,,
Reduto,,CD 10-1-2,Provavelmente Alemanha,,"14,5 x 14,5 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Avenida Portugal n° 93,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.5,14.5,-1.4549709,-48.5024242
Reduto,,CD 11-1-1,,,,Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Rua dos Mundurucus n° 1387,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4579893,-48.4766107
Campina,,CD 11-1-1,,,,Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Rua dos Mundurucus n° 1387,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4579893,-48.4766107
Reduto,,CD 12-1-1,,,,Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Travessa Benjamin  Constant n° 1009,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4479264,-48.4926168
Nazaré,,CD 12-1-1,,,,Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Travessa Benjamin  Constant n° 1009,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4479264,-48.4926168
BatistaCampos,,CD 12-1-1,,,,Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Travessa Benjamin  Constant n° 1009,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4479264,-48.4926168
SãoBrás,,CD 13-1-1,,,,Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
Umarizal,,CD 14-1-1,Alemanha,,14 x 14 cm,Cerâmica e vidrado Transferência ou Impressão (Decalcomania),"Travessa Dr. Moraes n° 85, 91, 107 e 115","Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.4650868,-48.4831113
Umarizal,,CD 15-1-1,França,,21 x 21 cm,Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",21,21,,
Umarizal,,CI  1-1-1 (a e b),,,"14,5 x 14,5 cm",Cerâmica e vidrado Transferência ou Impressão,Rua 28 de Setembro n° 70/752,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.5,14.5,-1.450574,-48.4982834
