Bairro,Azulejo-Imagem,Azulejo-Código,Procedência,Unnamed: 3,Dimensão-Formato,"Material, Técnica de Fabricação e Decorativa",Endereço,Uso-Aplicação,Altura,Largura,latitude,longitude
CidadeVelha,,FE 24-1-1,Lisboa,Portugal,"13,2 x 6,7 cm",Cerâmica e vidrado Estampinha,"Travessa Frutuoso Guimarães n° 482; Rua Padre Prudêncio n° 514 e 518; Travessa Benjamin Constant n° 1006, 1012, 1041 e 1047; Rua Tiradentes n° 514; Avenida Governador José Malcher n° 453; Rua Aristides Lobo n° 145; Rua Marques de Pombal n° 44/46 e 48; Rua Cametá n° 50; Rua Gaspar Viana n° 96/98; Travessa Leão XII s/n°, 52 e 37/27; Rua Santo Antônio n° 135/155; Rua 13 de Maio n° 520 e 524; Praça Visconde do Rio Branco","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,6.7,-1.4510368,-48.5010789
CidadeVelha,,FE 24-1-1,Lisboa,Portugal,"13,2 x 6,7 cm",Cerâmica e vidrado Estampinha,"Travessa Frutuoso Guimarães n° 482; Rua Padre Prudêncio n° 514 e 518; Travessa Benjamin Constant n° 1006, 1012, 1041 e 1047; Rua Tiradentes n° 514; Avenida Governador José Malcher n° 453; Rua Aristides Lobo n° 145; Rua Marques de Pombal n° 44/46 e 48; Rua Cametá n° 50; Rua Gaspar Viana n° 96/98; Travessa Leão XII s/n°, 52 e 37/27; Rua Santo Antônio n° 135/155; Rua 13 de Maio n° 520 e 524; Praça Visconde do Rio Branco","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,6.7,-1.4510368,-48.5010789
CidadeVelha,,FE 25-1-1,Lisboa,Portugal,"13,4 x 6,3 cm",Cerâmica e vidrado Estampinha,Avenida Senador Lemos n° 762; Rua Conselheiro João Alfredo n° 194/196; Rua Dr. Malcher n° 15/84 e 106; Travessa Benjamin Constant n° 506 e 512; Avenida Castilhos França n° 346; Rua 15 de Novembro n° 30/32/34/38,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,6.3,-1.4309975,-48.4837657
CidadeVelha,,FE 25-1-1,Lisboa,Portugal,"13,4 x 6,3 cm",Cerâmica e vidrado Estampinha,Avenida Senador Lemos n° 762; Rua Conselheiro João Alfredo n° 194/196; Rua Dr. Malcher n° 15/84 e 106; Travessa Benjamin Constant n° 506 e 512; Avenida Castilhos França n° 346; Rua 15 de Novembro n° 30/32/34/38,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,6.3,-1.4309975,-48.4837657
CidadeVelha,,FE 25-1-1,Lisboa,Portugal,"13,4 x 6,3 cm",Cerâmica e vidrado Estampinha,Avenida Senador Lemos n° 762; Rua Conselheiro João Alfredo n° 194/196; Rua Dr. Malcher n° 15/84 e 106; Travessa Benjamin Constant n° 506 e 512; Avenida Castilhos França n° 346; Rua 15 de Novembro n° 30/32/34/38,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,6.3,-1.4309975,-48.4837657
CidadeVelha,,FE 25-1-1,Lisboa,Portugal,"13,4 x 6,3 cm",Cerâmica e vidrado Estampinha,Avenida Senador Lemos n° 762; Rua Conselheiro João Alfredo n° 194/196; Rua Dr. Malcher n° 15/84 e 106; Travessa Benjamin Constant n° 506 e 512; Avenida Castilhos França n° 346; Rua 15 de Novembro n° 30/32/34/38,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,6.3,-1.4309975,-48.4837657
CidadeVelha,,FE 25-2-1,,,"13,1 x 4 cm",Cerâmica e vidrado Estampinha,"Travessa Frutuoso Guimarães n° 175/179, 123/185, 187/191; Travessa Alenquer n° 337;
 Rua Dr. Malcher n° 85","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.1,4,-1.4510368,-48.5010789
CidadeVelha,,FE 25-2-1,,,"13,1 x 4 cm",Cerâmica e vidrado Estampinha,"Travessa Frutuoso Guimarães n° 175/179, 123/185, 187/191; Travessa Alenquer n° 337;
 Rua Dr. Malcher n° 85","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.1,4,-1.4510368,-48.5010789
CidadeVelha,,FE 25-2-1,,,"13,1 x 4 cm",Cerâmica e vidrado Estampinha,"Travessa Frutuoso Guimarães n° 175/179, 123/185, 187/191; Travessa Alenquer n° 337;
 Rua Dr. Malcher n° 85","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.1,4,-1.4510368,-48.5010789
CidadeVelha,,FE 25-3-1,Provavelmente Portugal,,,Cerâmica e vidrado Estampinha,Rua 15 de Novembro n° 30/32/34/38,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.1615771,-48.4688459
